來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	107/07/13	8913	全銓	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/16~107/07/27	再次處置 / 20分
TWSE	107/07/12	9157	陽光能源-DR	23	連續五次	107/07/13～107/07/26	人工管制撮合 / 25分
TWSE	107/07/11	2413	環科	3	連續三次	107/07/12～107/07/25	第二次處置 / 20分
TWSE	107/07/11	911616	杜康-DR	39	連續五次	107/07/12～107/07/25	第二次處置 / 20分
TPEX	107/07/10	8913	全銓	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/11~107/07/24	再次處置 / 20分
TPEX	107/07/09	6542	隆中	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/10~107/07/23	第一次處置 / 5分
TWSE	107/07/06	2413	環科	3	連續三次	107/07/09～107/07/20	第二次處置 / 20分
TPEX	107/07/05	8913	全銓	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/06~107/07/19	再次處置 / 20分
TWSE	107/07/05	9157	陽光能源-DR	23	連續五次	107/07/06～107/07/19	人工管制撮合 / 25分
TWSE	107/07/04	910708	恒大健-DR	5	連續三次	107/07/05～107/07/18	第二次處置 / 20分
TWSE	107/07/04	911616	杜康-DR	39	連續五次	107/07/05～107/07/18	第二次處置 / 20分
TPEX	107/07/02	6118	建達	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/03~107/07/16	第一次處置 / 5分
TPEX	107/06/29	6432	今展科	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/07/02~107/07/13	再次處置 / 20分
TPEX	107/06/29	64321	今展科一	2		107/07/02~107/07/13	再次處置 / 20分
TWSE	107/06/29	910708	恒大健-DR	5	連續三次	107/07/02～107/07/13	第一次處置 / 5分
TWSE	107/06/28	6155	鈞寶	2	連續五次	107/06/29～107/07/12	第二次處置 / 20分
TWSE	107/06/28	9157	陽光能源-DR	23	連續五次	107/06/29～107/07/12	人工管制撮合 / 25分
TWSE	107/06/27	911616	杜康-DR	39	連續五次	107/06/28～107/07/11	第二次處置 / 20分
