來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	115/07/27	6217	中探針	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/28~115/08/10	再次處置 / 20分
TPEX	115/07/27	76101	聯友金屬一創	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/28~115/08/10	再次處置 / 5分
TWSE	115/07/24	067647	國巨凱基5B購07	1	連續三次	115/07/27～115/08/07	第一次處置 / 5分
TWSE	115/07/24	074860	台積電統一63購02	1	連續三次	115/07/27～115/08/07	第一次處置 / 5分
TPEX	115/07/24	49231	力士一	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/27~115/08/07	再次處置 / 20分
TWSE	115/07/24	7610	聯友金屬-創	8	連續三次	115/07/27～115/08/07	第二次處置 / 20分
TPEX	115/07/24	76101	聯友金屬一創	3	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/27~115/08/07	再次處置 / 20分
TWSE	115/07/24	8033	雷虎	4	連續五次	115/07/27～115/08/07	第二次處置 / 20分
TPEX	115/07/24	8291	尚茂	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/27~115/08/07	再次處置 / 25分
TWSE	115/07/24	911608	明輝-DR	3	最近十個營業日已有六次	115/07/27～115/08/07	第二次處置 / 20分
TWSE	115/07/23	3167	大量	9	最近三十個營業日已有十二次	115/07/24～115/08/06	第二次處置 / 20分
TPEX	115/07/23	31672	大量二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/24~115/08/06	再次處置 / 20分
TPEX	115/07/23	4139	馬光-KY	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/24~115/08/06	再次處置 / 20分
TPEX	115/07/23	6182	合晶	5	連續3個營業日及沖銷標準	115/07/24~115/08/10	再次處置 / 5分
TPEX	115/07/23	61827	合晶七	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/24~115/08/10	再次處置 / 5分
TPEX	115/07/23	61828	合晶八	5	連續3個營業日及沖銷標準	115/07/24~115/08/10	再次處置 / 20分
TWSE	115/07/22	050307	亞航國泰57購01	1	連續三次	115/07/23～115/08/05	第一次處置 / 5分
TPEX	115/07/22	6217	中探針	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/23~115/08/05	再次處置 / 20分
TWSE	115/07/22	8028	昇陽半導體	1	連續五次	115/07/23～115/08/05	第一次處置 / 5分
TPEX	115/07/22	80282	昇陽半導體二	2	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/23~115/08/05	再次處置 / 5分
TWSE	115/07/21	2483	百容	2	連續三次	115/07/22～115/08/04	第二次處置 / 20分
TWSE	115/07/21	3026	禾伸堂	7	連續三次	115/07/22～115/08/04	第二次處置 / 20分
TPEX	115/07/21	3288	點晶	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TPEX	115/07/21	3624	光頡	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	3675	德微	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6173	信昌電	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6683	雍智科技	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 20分
TPEX	115/07/21	6727	亞泰金屬	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TPEX	115/07/21	707085	頎邦統一66購01	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/22~115/08/04	再次處置 / 5分
TWSE	115/07/20	2492	華新科	7	連續三次	115/07/21～115/08/03	第二次處置 / 20分
TPEX	115/07/20	4139	馬光-KY	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/21~115/08/03	第一次處置 / 5分
TWSE	115/07/17	2434	統懋	2	連續三次	115/07/20～115/07/31	第二次處置 / 20分
TWSE	115/07/17	3090	日電貿	4	連續三次	115/07/20～115/07/31	第二次處置 / 20分
TPEX	115/07/17	8383	千附	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/20~115/07/31	第一次處置 / 5分
TPEX	115/07/16	6173	信昌電	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/17~115/07/30	再次處置 / 20分
TPEX	115/07/16	6907	雅特力-KY	3	最近10個營業日內有6個營業日	115/07/17~115/07/30	再次處置 / 5分
TPEX	115/07/16	7714	創泓科技	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/17~115/07/30	再次處置 / 5分
TWSE	115/07/15	2492	華新科	7	連續三次	115/07/16～115/07/29	第二次處置 / 20分
TPEX	115/07/15	8096	擎亞	4	連續5個營業日	115/07/16~115/07/29	再次處置 / 20分
TPEX	115/07/15	80962	擎亞二	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/16~115/07/29	再次處置 / 20分
TPEX	115/07/15	80963	擎亞三	4	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/16~115/07/29	再次處置 / 20分
TPEX	115/07/15	8291	尚茂	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/16~115/07/29	再次處置 / 25分
TWSE	115/07/14	052974	今國光統一5C購02	1	連續三次	115/07/15～115/07/28	第一次處置 / 5分
TWSE	115/07/14	2434	統懋	2	最近十個營業日已有六次	115/07/15～115/07/28	第一次處置 / 5分
TPEX	115/07/14	4542	科嶠	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/15~115/07/28	再次處置 / 20分
TPEX	115/07/14	45421	科嶠一	3	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/15~115/07/28	再次處置 / 20分
TPEX	115/07/14	4556	旭然	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/15~115/07/28	再次處置 / 20分
TWSE	115/07/14	6831	邁科	2	最近十個營業日已有六次	115/07/15～115/07/28	第一次處置 / 5分
TPEX	115/07/13	8027	鈦昇	2	最近10個營業日內有6個營業日	115/07/14~115/07/27	再次處置 / 20分
TPEX	115/07/13	80273	鈦昇三	2	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/14~115/07/27	再次處置 / 20分
TWSE	115/07/09	4169	泰宗	1	連續三次	115/07/10～115/07/23	第一次處置 / 5分
TPEX	115/07/09	61828	合晶八	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/10~115/07/23	再次處置 / 20分
TWSE	115/07/08	3055	蔚華科	2	連續三次	115/07/09～115/07/22	第二次處置 / 20分
TPEX	115/07/08	4707	磐亞	3	最近10個營業日內有6個營業日	115/07/09~115/07/22	再次處置 / 20分
TPEX	115/07/08	6174	安碁	3	最近10個營業日內有6個營業日	115/07/09~115/07/22	再次處置 / 5分
TPEX	115/07/08	708915	安葆統一75購01	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/09~115/07/22	再次處置 / 5分
TWSE	115/07/08	8261	富鼎	1	連續三次及當日沖銷標準	115/07/09～115/07/24	第一次處置 / 5分
TWSE	115/07/07	2466	冠西電	1	連續三次	115/07/08～115/07/21	第一次處置 / 5分
TPEX	115/07/07	61827	合晶七	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/08~115/07/21	再次處置 / 20分
TPEX	115/07/07	6617	共信-KY	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/08~115/07/21	再次處置 / 5分
TWSE	115/07/06	066762	國巨永豐65購01	1	連續三次	115/07/07～115/07/20	第一次處置 / 5分
TWSE	115/07/06	1515	力山	1	連續三次	115/07/07～115/07/20	第一次處置 / 5分
TWSE	115/07/06	1718	中纖	2	連續三次	115/07/07～115/07/20	第二次處置 / 20分
TPEX	115/07/06	61828	合晶八	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/07~115/07/20	再次處置 / 20分
TPEX	115/07/06	66722	騰輝電子二KY	2	最近10個營業日內有6個營業日	115/07/07~115/07/20	再次處置 / 5分
TWSE	115/07/03	1447	力鵬	1	連續三次	115/07/06～115/07/17	第一次處置 / 5分
TWSE	115/07/03	1617	榮星	1	連續三次	115/07/06～115/07/17	第一次處置 / 5分
TWSE	115/07/03	3055	蔚華科	2	連續三次	115/07/06～115/07/17	第一次處置 / 5分
TPEX	115/07/03	3147	大綜	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/06~115/07/17	再次處置 / 20分
TPEX	115/07/03	3230	錦明	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/06~115/07/17	再次處置 / 20分
TPEX	115/07/03	6217	中探針	3	最近10個營業日內有6個營業日	115/07/06~115/07/17	再次處置 / 5分
TWSE	115/07/03	7795	長廣	1	連續三次	115/07/06～115/07/17	第一次處置 / 5分
TWSE	115/07/03	911608	明輝-DR	3	最近三十個營業日已有十二次	115/07/06～115/07/17	第一次處置 / 5分
TWSE	115/07/02	059570	強茂凱基5B購03	1	連續三次	115/07/03～115/07/16	第一次處置 / 5分
TWSE	115/07/02	1435	中福	2	連續三次	115/07/03～115/07/16	第二次處置 / 20分
TWSE	115/07/02	3189	景碩	3	最近十個營業日已有六次	115/07/03～115/07/16	第二次處置 / 20分
TWSE	115/07/02	6226	光鼎	3	連續三次	115/07/03～115/07/16	第二次處置 / 20分
TWSE	115/07/02	8021	尖點	6	最近十個營業日已有六次	115/07/03～115/07/16	第二次處置 / 20分
TPEX	115/07/02	80212	尖點二	1	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/07/03~115/07/16	第一次處置 / 20分
TWSE	115/07/02	8033	雷虎	4	最近十個營業日已有六次	115/07/03～115/07/16	第一次處置 / 5分
TWSE	115/07/01	2303	聯電	1	最近十個營業日已有六次	115/07/02～115/07/15	第一次處置 / 5分
TPEX	115/06/30	3230	錦明	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/07/01~115/07/14	第一次處置 / 5分
TWSE	115/06/29	1435	中福	2	連續三次	115/06/30～115/07/13	第一次處置 / 5分
TWSE	115/06/29	2233	宇隆	2	連續三次	115/06/30～115/07/13	第一次處置 / 5分
TPEX	115/06/29	22331	宇隆一	2	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/30~115/07/13	再次處置 / 5分
TWSE	115/06/29	2483	百容	2	連續三次	115/06/30～115/07/13	第一次處置 / 5分
TWSE	115/06/29	3450	聯鈞	2	最近十個營業日已有六次	115/06/30～115/07/13	第一次處置 / 5分
TWSE	115/06/29	6226	光鼎	3	連續三次	115/06/30～115/07/13	第一次處置 / 5分
TPEX	115/06/29	8024	佑華	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/30~115/07/13	再次處置 / 5分
TWSE	115/06/26	085788	T50反1中信5C購01	1	連續三次	115/06/29～115/07/10	第一次處置 / 5分
TPEX	115/06/26	5321	美而快	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/29~115/07/10	再次處置 / 20分
TPEX	115/06/26	53211	美而快一	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/29~115/07/10	再次處置 / 20分
TPEX	115/06/26	5464	霖宏	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/29~115/07/10	再次處置 / 5分
TPEX	115/06/26	54642	霖宏二	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/29~115/07/10	再次處置 / 5分
TWSE	115/06/26	6243	迅杰	1	連續三次	115/06/29～115/07/10	第一次處置 / 5分
TPEX	115/06/26	62433	迅杰三	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/29~115/07/10	再次處置 / 5分
TPEX	115/06/26	6683	雍智科技	7	最近10個營業日內有6個營業日	115/06/29~115/07/10	再次處置 / 5分
TPEX	115/06/26	707059	健亞永豐5B購01	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/29~115/07/10	再次處置 / 20分
TWSE	115/06/25	2481	強茂	1	連續三次	115/06/26～115/07/09	第一次處置 / 5分
TPEX	115/06/25	5425	台半	3	連續5個營業日	115/06/26~115/07/09	再次處置 / 5分
TPEX	115/06/25	5489	彩富	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/26~115/07/09	再次處置 / 5分
TWSE	115/06/25	6141	柏承	4	最近十個營業日已有六次	115/06/26～115/07/09	第一次處置 / 5分
TPEX	115/06/25	6620	漢達	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/26~115/07/09	再次處置 / 5分
TWSE	115/06/25	6834	天二科技	3	連續五次	115/06/26～115/07/09	第二次處置 / 20分
TWSE	115/06/24	2316	楠梓電	1	連續三次	115/06/25～115/07/08	第一次處置 / 5分
TPEX	115/06/24	3675	德微	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/25~115/07/08	再次處置 / 20分
TPEX	115/06/24	49231	力士一	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/25~115/07/08	再次處置 / 5分
TWSE	115/06/24	6715	嘉基	3	連續三次	115/06/25～115/07/08	第一次處置 / 5分
TPEX	115/06/24	7712	博盛半導體	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/25~115/07/08	再次處置 / 5分
TWSE	115/06/23	1303	南亞	1	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TPEX	115/06/23	2061	風青	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 20分
TWSE	115/06/23	2305	全友	1	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TWSE	115/06/23	2342	茂矽	1	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TWSE	115/06/23	2492	華新科	7	連續三次	115/06/24～115/07/07	第二次處置 / 20分
TPEX	115/06/23	3624	光頡	11	連續5個營業日及沖銷標準	115/06/24~115/07/09	再次處置 / 20分
TWSE	115/06/23	4764	雙鍵	4	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TPEX	115/06/23	4923	力士	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 5分
TPEX	115/06/23	49231	力士一	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/24~115/07/07	再次處置 / 5分
TPEX	115/06/23	5227	立凱-KY	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 20分
TPEX	115/06/23	5468	凱鈺	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 20分
TWSE	115/06/23	6415	矽力*-KY	2	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TPEX	115/06/23	6693	廣閎科	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 5分
TPEX	115/06/23	707059	健亞永豐5B購01	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/24~115/07/07	再次處置 / 5分
TWSE	115/06/23	7610	聯友金屬-創	8	連續三次	115/06/24～115/07/07	第二次處置 / 20分
TPEX	115/06/23	76101	聯友金屬一創	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/24~115/07/07	再次處置 / 20分
TPEX	115/06/23	8096	擎亞	11	最近10個營業日內有6個營業日	115/06/24~115/07/07	再次處置 / 5分
TWSE	115/06/23	8996	高力	4	連續三次	115/06/24～115/07/07	第一次處置 / 5分
TPEX	115/06/23	89964	高力四	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/24~115/07/07	再次處置 / 5分
TWSE	115/06/22	2243	宏旭-KY	3	連續三次	115/06/23～115/07/06	第二次處置 / 20分
TWSE	115/06/22	3090	日電貿	4	連續三次及當日沖銷標準	115/06/23～115/07/08	第二次處置 / 20分
TWSE	115/06/22	4551	智伸科	1	連續三次	115/06/23～115/07/06	第一次處置 / 5分
TPEX	115/06/22	72657U	家登群益56售04	1	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/23~115/07/06	第一次處置 / 5分
TWSE	115/06/18	1714	和桐	2	連續三次	115/06/22～115/07/03	第二次處置 / 20分
TWSE	115/06/18	2455	全新	5	連續五次	115/06/22～115/07/03	第二次處置 / 20分
TPEX	115/06/18	24552	全新二	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/22~115/07/03	再次處置 / 20分
TPEX	115/06/18	24553	全新三	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/22~115/07/03	再次處置 / 20分
TWSE	115/06/18	2478	大毅	2	連續三次	115/06/22～115/07/03	第二次處置 / 20分
TPEX	115/06/18	3163	波若威	7	最近10個營業日內有6個營業日	115/06/22~115/07/03	再次處置 / 5分
TPEX	115/06/18	3441	聯一光	7	連續3個營業日及沖銷標準	115/06/22~115/07/07	再次處置 / 5分
TWSE	115/06/18	3532	台勝科	4	連續三次	115/06/22～115/07/03	第二次處置 / 20分
TPEX	115/06/18	61827	合晶七	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/22~115/07/03	再次處置 / 20分
TPEX	115/06/18	61828	合晶八	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/22~115/07/03	再次處置 / 20分
TPEX	115/06/18	6488	環球晶	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/22~115/07/03	再次處置 / 20分
TWSE	115/06/17	2383	台光電	1	最近十個營業日已有六次	115/06/18～115/07/02	第一次處置 / 5分
TWSE	115/06/17	2493	揚博	1	連續三次	115/06/18～115/07/02	第一次處置 / 5分
TWSE	115/06/17	3026	禾伸堂	7	連續三次	115/06/18～115/07/02	第二次處置 / 20分
TPEX	115/06/17	3285	微端	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 5分
TPEX	115/06/17	4556	旭然	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	4991	環宇-KY	11	連續5個營業日	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	5227	立凱-KY	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 5分
TPEX	115/06/17	5468	凱鈺	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 5分
TPEX	115/06/17	6613	朋億*	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 5分
TPEX	115/06/17	7828	創新服務	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	8027	鈦昇	11	最近10個營業日內有6個營業日	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	80273	鈦昇三	11	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	8042	金山電	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 20分
TPEX	115/06/17	80426	金山電六	11	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/18~115/07/02	再次處置 / 20分
TWSE	115/06/16	2243	宏旭-KY	3	連續五次	115/06/17～115/07/01	第一次處置 / 5分
TWSE	115/06/16	3167	大量	9	連續五次	115/06/17～115/07/01	第二次處置 / 20分
TPEX	115/06/16	31672	大量二	5	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/17~115/07/01	再次處置 / 20分
TPEX	115/06/16	6173	信昌電	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/17~115/07/01	再次處置 / 20分
TPEX	115/06/16	6187	萬潤	5	最近10個營業日內有6個營業日	115/06/17~115/07/01	再次處置 / 5分
TPEX	115/06/16	6241	鑫永洋	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/17~115/07/01	再次處置 / 5分
TPEX	115/06/16	8291	尚茂	5	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/17~115/07/01	再次處置 / 25分
TWSE	115/06/15	1714	和桐	2	最近十個營業日已有六次	115/06/16～115/06/30	第一次處置 / 5分
TPEX	115/06/15	49793	華星光三	2	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/16~115/06/30	再次處置 / 5分
TWSE	115/06/15	8021	尖點	6	連續五次	115/06/16～115/06/30	第二次處置 / 20分
TPEX	115/06/15	80212	尖點二	2	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/16~115/06/30	再次處置 / 20分
TPEX	115/06/12	4402	郡都開發	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/15~115/06/29	再次處置 / 5分
TPEX	115/06/12	4556	旭然	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/15~115/06/29	再次處置 / 5分
TPEX	115/06/12	5345	馥鴻	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/15~115/06/29	再次處置 / 5分
TWSE	115/06/12	6830	汎銓	5	連續三次	115/06/15～115/06/29	第一次處置 / 5分
TPEX	115/06/12	68301	汎銓一	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/15~115/06/29	再次處置 / 5分
TWSE	115/06/12	6924	榮惠-KY創	2	連續三次	115/06/15～115/06/29	第二次處置 / 20分
TWSE	115/06/11	063950	揚博凱基5B購01	1	連續三次	115/06/12～115/06/26	第一次處置 / 5分
TPEX	115/06/11	4542	科嶠	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	45421	科嶠一	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	5321	美而快	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	53211	美而快一	9	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	6127	九豪	9	最近10個營業日內有6個營業日	115/06/12~115/06/26	再次處置 / 5分
TWSE	115/06/11	6890	來億-KY	2	連續三次	115/06/12～115/06/26	第二次處置 / 20分
TPEX	115/06/11	68901	來億一KY	9	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	68902	來億二KY	9	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	724481	正基統一59購02	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/12~115/06/26	再次處置 / 20分
TPEX	115/06/11	8291	尚茂	9	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/12~115/06/26	再次處置 / 25分
TPEX	115/06/10	3147	大綜	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/11~115/06/25	再次處置 / 20分
TPEX	115/06/10	3581	博磊	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/11~115/06/25	再次處置 / 20分
TPEX	115/06/10	731874	茂訊統一59購01	3	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/11~115/06/25	再次處置 / 5分
TWSE	115/06/09	8454	富邦媒	2	連續三次	115/06/10～115/06/24	第二次處置 / 20分
TPEX	115/06/08	3114	好德	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/09~115/06/23	再次處置 / 5分
TPEX	115/06/08	5426	振發	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/09~115/06/23	再次處置 / 5分
TWSE	115/06/08	6890	來億-KY	2	連續三次	115/06/09～115/06/23	第一次處置 / 5分
TPEX	115/06/08	68901	來億一KY	6	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/09~115/06/23	再次處置 / 5分
TPEX	115/06/08	68902	來億二KY	6	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/09~115/06/23	再次處置 / 5分
TPEX	115/06/08	76101	聯友金屬一創	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/09~115/06/23	再次處置 / 20分
TPEX	115/06/08	8291	尚茂	6	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/09~115/06/23	再次處置 / 25分
TWSE	115/06/05	1718	中纖	2	連續三次	115/06/08～115/06/22	第一次處置 / 5分
TWSE	115/06/05	2491	吉祥全	1	連續三次	115/06/08～115/06/22	第一次處置 / 5分
TPEX	115/06/05	3147	大綜	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 5分
TWSE	115/06/05	3149	正達	1	連續五次	115/06/08～115/06/22	第一次處置 / 5分
TPEX	115/06/05	3581	博磊	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 20分
TWSE	115/06/05	4807	日成-KY	1	連續三次	115/06/08～115/06/22	第一次處置 / 5分
TPEX	115/06/05	5701	劍湖山	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 10分
TPEX	115/06/05	60152	宏遠證二	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 5分
TPEX	115/06/05	62075	雷科五	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 5分
TPEX	115/06/05	62076	雷科六	8	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/08~115/06/22	再次處置 / 5分
TWSE	115/06/05	6442	光聖	4	最近十個營業日已有六次	115/06/08～115/06/22	第一次處置 / 5分
TPEX	115/06/05	64422	光聖二	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/08~115/06/22	再次處置 / 5分
TPEX	115/06/05	64423	光聖三	8	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/08~115/06/22	再次處置 / 5分
TPEX	115/06/04	3288	點晶	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/05~115/06/18	再次處置 / 5分
TPEX	115/06/04	3523	迎輝	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/05~115/06/18	再次處置 / 20分
TWSE	115/06/04	3535	晶彩科	1	最近十個營業日已有六次	115/06/05～115/06/18	第一次處置 / 5分
TPEX	115/06/04	4707	磐亞	4	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/05~115/06/18	再次處置 / 5分
TPEX	115/06/04	8358	金居	4	連續5個營業日	115/06/05~115/06/18	再次處置 / 20分
TWSE	115/06/04	8454	富邦媒	2	連續三次	115/06/05～115/06/18	第一次處置 / 5分
TWSE	115/06/03	067782	國巨中信65購03	1	連續三次	115/06/04～115/06/17	第一次處置 / 5分
TWSE	115/06/03	1409	新纖	1	連續三次	115/06/04～115/06/17	第一次處置 / 5分
TWSE	115/06/03	1568	倉佑	2	連續三次	115/06/04～115/06/17	第二次處置 / 20分
TWSE	115/06/03	2492	華新科	7	連續三次	115/06/04～115/06/17	第二次處置 / 20分
TWSE	115/06/03	3021	鴻名	2	連續三次	115/06/04～115/06/17	第二次處置 / 20分
TWSE	115/06/03	3346	麗清	1	連續三次	115/06/04～115/06/17	第一次處置 / 5分
TPEX	115/06/03	33466	麗清六	7	轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置	115/06/04~115/06/17	再次處置 / 5分
TWSE	115/06/03	3481	群創	2	最近十個營業日已有六次	115/06/04～115/06/17	第一次處置 / 5分
TPEX	115/06/03	3556	禾瑞亞	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/04~115/06/17	再次處置 / 5分
TWSE	115/06/03	6116	彩晶	3	連續三次	115/06/04～115/06/17	第二次處置 / 20分
TPEX	115/06/03	6548	長科*	7	因連續3個營業日達本中心作業要點第四條第一項第一款	115/06/04~115/06/17	再次處置 / 5分
