來源	代號	名稱	公布日期	處置期間	處置條件	處置措施
TPEX	8069	元太	115/05/14	115/05/15~115/05/28	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	8091	翔名	115/05/19	115/05/20~115/06/02	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	80914	翔名四	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	8227	巨有科技	115/05/11	115/05/12~115/05/25	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TPEX	8291	尚茂	115/05/22	115/05/25~115/06/05	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分
TPEX	8358	金居	115/05/14	115/05/15~115/05/28	最近10個營業日內有6個營業日	再次處置 / 20分
TPEX	8444	綠河-KY	115/05/15	115/05/18~115/05/29	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 25分
TPEX	8455	大拓-KY	115/05/20	115/05/21~115/06/03	因連續3個營業日達本中心作業要點第四條第一項第一款	再次處置 / 5分
TWSE	058462	汎銓元大59購05	115/05/22	115/05/25～115/06/05	連續三次	第一次處置 / 5分
TWSE	1809	中釉	115/05/12	115/05/13～115/05/26	連續三次	第一次處置 / 5分
TWSE	2059	川湖	115/05/12	115/05/13～115/05/26	連續三次	第一次處置 / 5分
TWSE	2492	華新科	115/05/14	115/05/15～115/05/28	連續三次	第一次處置 / 5分
TWSE	2911	麗嬰房	115/05/22	115/05/25～115/06/05	連續三次	第一次處置 / 5分
TWSE	3008	大立光	115/05/19	115/05/20～115/06/02	連續三次	第一次處置 / 5分
TWSE	3016	嘉晶	115/05/11	115/05/12～115/05/25	連續三次	第二次處置 / 20分
TWSE	3026	禾伸堂	115/05/14	115/05/15～115/05/28	連續三次	第二次處置 / 20分
TWSE	3090	日電貿	115/05/21	115/05/22～115/06/04	連續三次	第一次處置 / 5分
TWSE	3135	凌航	115/05/15	115/05/18～115/05/29	連續五次	第一次處置 / 5分
TWSE	3450	聯鈞	115/05/12	115/05/13～115/05/26	連續三次	第一次處置 / 5分
TWSE	3653	健策	115/05/12	115/05/13～115/05/26	連續三次	第二次處置 / 20分
TWSE	3665	貿聯-KY	115/05/19	115/05/20～115/06/02	連續三次	第一次處置 / 5分
TWSE	6449	鈺邦	115/05/21	115/05/22～115/06/04	連續三次	第二次處置 / 20分
TWSE	6742	澤米	115/05/22	115/05/25～115/06/05	連續三次	第一次處置 / 5分
TWSE	6806	森崴能源	115/05/20	115/05/21～115/06/03	連續三次	人工管制撮合 / 60分
TWSE	6831	邁科	115/05/14	115/05/15～115/05/28	連續三次	第一次處置 / 5分
TWSE	6834	天二科技	115/05/22	115/05/25～115/06/05	連續三次	第一次處置 / 5分
TWSE	6924	榮惠-KY創	115/05/19	115/05/20～115/06/02	連續三次	第一次處置 / 5分
TWSE	7610	聯友金屬-創	115/05/22	115/05/25～115/06/05	連續三次	第二次處置 / 20分
TWSE	7769	鴻勁	115/05/13	115/05/14～115/05/27	連續三次	第一次處置 / 5分
TWSE	8114	振樺電	115/05/14	115/05/15～115/05/28	連續三次	第一次處置 / 5分
TWSE	911608	明輝-DR	115/05/12	115/05/13～115/05/26	連續五次	第一次處置 / 5分
